CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
72,255,0,0,0,0,0,0,0,0,0,0
255,255,0,1,0,0,0,0,18,0,0,0
255,255,255,255,255,3,255,0,255,11,255,0
255,78,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,45,255,255,255
0,0,0,1,0,255,0,255,0,106,23,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
101,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,1,0,0,0
255,255,255,255,255,19,255,0,255,41,255,0
255,141,255,255,255,255,255,153,255,255,255,50
0,0,255,255,255,255,255,255,1,255,255,255
