CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,6,213,9,0,8,0,255,0,0,0
255,255,255,255,255,180,255,0,255,255,255,0
6,0,255,255,255,255,255,255,255,255,255,255
0,0,119,255,255,255,86,255,0,255,255,255
0,0,0,0,0,0,0,74,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
123,255,0,0,0,0,0,0,0,0,0,0
255,255,29,75,9,0,50,0,255,0,0,0
255,255,255,255,255,42,255,0,255,26,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,16,255,5,255,1,255,0,255,255,255
0,0,0,0,0,1,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
