CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
755619,1064340,1096,1197002,0,149709,0,4,0,1237104,0,0,21311
681888,1102036,1638,1175581,0,185066,0,6,0,1291826,0,0,28701
592589,1136103,3058,1177842,0,241565,0,18,0,1343792,0,1,42275
496581,1167987,6574,1177527,0,321633,0,35,0,1359341,1,4,66483
415406,1198671,12115,1181906,0,423905,0,82,0,1360861,0,1,96886
339158,1232204,22668,1177512,0,545678,0,193,0,1358863,1,10,137412
280869,1264318,39572,1161308,1,642785,0,360,0,1351792,5,31,191619
234670,1291518,62959,1139117,4,733603,0,751,0,1333338,11,59,247902
221802,1325007,74156,1145010,5,800714,0,846,0,1356037,23,73,287694
188293,1351962,101839,1082638,20,865113,0,1458,0,1341825,36,136,352495
160410,1385649,143778,1015612,35,938609,0,2459,0,1304719,83,275,447035
139255,1416955,212282,947667,127,1011459,0,4338,0,1248780,169,582,569571
127559,1438340,277633,877337,278,1073557,0,6912,0,1193646,303,921,669902
115086,1464062,373887,785414,655,1133474,0,10386,0,1125829,616,1762,781938
105948,1485189,461990,707456,1088,1175900,0,15273,0,1067724,1141,2932,879715
97569,1497593,556068,609755,2054,1214387,0,23470,0,989562,2109,5285,978830
86026,1520139,639791,442169,3775,1229786,0,31808,0,945185,2819,9401,1114389
78326,1526574,699458,374100,5582,1254936,0,42635,0,893048,3744,12522,1165355
70009,1526692,765316,308049,10389,1286255,0,62522,0,804273,5489,19107,1221359
62983,1521438,854091,252452,18754,1318997,0,90892,0,695719,8169,29438,1277218
57839,1512764,909333,215032,31113,1347781,1,123797,0,609020,11182,39181,1308126
49098,1497079,966767,177007,49743,1381743,0,168893,0,520743,15960,59891,1342513
41787,1474860,1013717,141959,78472,1415652,2,232396,0,442291,23000,89169,1376983
34343,1441620,1045138,116077,107793,1441548,0,297334,0,376810,30599,124304,1404847
28989,1430221,1034841,94202,145493,1476934,2,392279,0,295340,39110,156168,1437564
21708,1396198,1046196,74013,186984,1499258,4,477368,0,253164,49209,204362,1466224
15410,1345531,1063383,61616,246750,1519490,11,564051,0,210943,63408,266719,1490832
10711,1277586,1118528,50277,330543,1539731,28,665153,0,158591,87239,352353,1516017
7512,1204548,1170568,43240,427166,1553062,80,760969,0,120107,115488,433160,1525407
4930,1112492,1228250,36451,519896,1565069,219,850534,1,84687,162057,554803,1532670
2907,1011218,1272065,30106,619927,1560173,544,940192,4,58483,229866,689056,1520371
1836,917406,1295142,26049,696306,1554982,1130,1005894,2,42138,291473,797718,1498145
779,822452,1283463,17963,812949,1524700,1812,1043533,8,36037,383808,923015,1455788
452,763686,1281504,13854,853805,1515992,2617,1090232,22,28787,432842,983299,1425197
203,677988,1272296,9851,917331,1492812,4975,1147993,37,18190,519004,1069886,1362838
106,595938,1275498,7230,971691,1466403,8779,1193765,92,10759,620523,1134286,1288328
48,533755,1252558,5739,1024253,1436024,15837,1235504,216,6467,710717,1180394,1206092
18,470660,1213055,4103,1063266,1395857,27605,1270047,416,3613,811393,1233383,1117392
