CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,7,207,11,0,9,0,255,0,0,0
255,255,255,255,255,186,255,2,255,255,255,0
8,0,255,255,255,255,255,255,255,255,255,255
0,0,105,255,255,255,57,255,2,255,255,255
0,0,0,0,0,0,0,78,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
133,255,0,0,0,0,0,0,0,0,0,0
255,255,37,73,9,0,72,0,255,0,0,0
255,255,255,255,255,51,255,0,255,36,255,0
4,0,255,255,255,255,255,255,255,255,255,255
0,0,28,255,5,255,1,255,0,255,255,255
0,0,0,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
