06-12-23 12:54:59 - Voltage 1.2 - INFO   Power: On, Voltage: 1.0805 V, Current: 0.3002 A
06-12-23 12:58:11 - Voltage 1.2 - INFO   Current = 0.3977
06-12-23 12:58:25 - Voltage 1.2 - INFO   Current = 0.3989
06-12-23 12:58:38 - Voltage 1.2 - INFO   Current = 0.3990
06-12-23 12:58:51 - Voltage 1.2 - INFO   Current = 0.3990
06-12-23 12:59:04 - Voltage 1.2 - INFO   Current = 0.3991
06-12-23 12:59:17 - Voltage 1.2 - INFO   Current = 0.3980
06-12-23 12:59:31 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 12:59:44 - Voltage 1.2 - INFO   Current = 0.3991
06-12-23 12:59:57 - Voltage 1.2 - INFO   Current = 0.3991
06-12-23 13:00:10 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:00:23 - Voltage 1.2 - INFO   Current = 0.3991
06-12-23 13:00:37 - Voltage 1.2 - INFO   Current = 0.3991
06-12-23 13:00:50 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:01:03 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:01:16 - Voltage 1.2 - INFO   Current = 0.3980
06-12-23 13:01:29 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:01:43 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:01:56 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:02:09 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:02:22 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:02:35 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:02:49 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:03:02 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:03:15 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:03:28 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:03:41 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:03:54 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:04:08 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:04:21 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:04:34 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:04:47 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:05:01 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:05:14 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:05:27 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:05:40 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:05:53 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:06:06 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:06:20 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:06:33 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:06:46 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:06:59 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:07:12 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:07:26 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:07:39 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:07:52 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:08:05 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:08:18 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:08:32 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:08:45 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:08:58 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:09:11 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:09:24 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:09:38 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:09:51 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:10:04 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:10:17 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:10:30 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:10:43 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:10:57 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:11:10 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:11:23 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:11:36 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:11:50 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:12:03 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:12:16 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:12:29 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:12:42 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:12:55 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:13:09 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:13:22 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:13:35 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:13:48 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:14:01 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:14:15 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:14:28 - Voltage 1.2 - INFO   Current = 0.4000
06-12-23 13:14:41 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:14:54 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:15:07 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:15:21 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:15:34 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:15:47 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:16:00 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:16:13 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:16:27 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:16:40 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:16:53 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:17:06 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:17:19 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:17:33 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:17:46 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:17:59 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:18:12 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:18:25 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:18:39 - Voltage 1.2 - INFO   Current = 0.3982
