CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
255,255,0,0,0,0,0,0,0,0,0,0
255,255,36,165,1,0,0,0,255,0,2,0
255,255,255,255,255,255,255,0,255,255,255,0
0,0,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,0,255,255,255
0,0,0,0,0,255,0,255,0,0,0,78
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,42,66,4,0,0,0,255,0,123,0
255,255,255,255,255,255,255,46,255,255,255,208
19,4,255,255,255,255,255,255,255,255,255,255
0,0,200,255,255,255,255,255,0,255,16,255
0,0,0,1,0,255,0,255,0,0,0,255
0,0,0,0,0,0,0,0,0,0,0,0
